Frequency (MHz),Ground Data (Watts),Sky Data (Watts),Source Data (Watts),Original Receiver Temperature (Tr) (K),Corrected Receiver Temperature (Tr) (K),Source Temperature (Ts) (K),Brightness Temperature (K)
1420.54296875,6.934258060165695e-07,1.5958791472367336e-07,1.8365383433483474e-07,83.18863481096275,83.18863481096275,13.298880429971973,7.513946808405169
1420.546875,6.950243175887969e-07,1.5922087270511716e-07,1.828100216142741e-07,82.66303743755613,82.66303743755613,12.987596467790581,7.202662846223777
1420.55078125,6.918309709189362e-07,1.5885467485977776e-07,1.8238957023196385e-07,82.9253532101415,82.9253532101415,13.026459499475123,7.24152587790832
1420.5546875,6.950243175887969e-07,1.5958791472367336e-07,1.828100216142741e-07,82.92535321014158,82.92535321014158,12.794276773245201,7.009343151678397
1420.55859375,6.934258060165695e-07,1.5885467485977776e-07,1.8155156627731371e-07,82.66303743755589,82.66303743755589,12.52514881169158,6.7402151901247755
1420.5625,6.886522963442763e-07,1.584893192461114e-07,1.8030177408595698e-07,83.18863481096275,83.18863481096275,12.137162449506533,6.352228827939729
1420.56640625,6.870684400142325e-07,1.584893192461114e-07,1.8030177408595698e-07,83.45288688221423,83.45288688221423,12.17353074484609,6.388597123279286
1420.5703125,6.870684400142325e-07,1.5958791472367336e-07,1.8113400926196026e-07,84.25151277869605,84.25151277869605,12.049919540239742,6.264985918672938
1420.57421875,6.870684400142325e-07,1.5922087270511716e-07,1.8071741260109275e-07,83.98432115062329,83.98432115062329,12.013845780592803,6.228912159025999
1420.578125,6.870684400142325e-07,1.5922087270511716e-07,1.7947336268325267e-07,83.98432115062329,83.98432115062329,11.318579289863862,5.5336456682970585
1420.58203125,6.870684400142325e-07,1.584893192461114e-07,1.7906058540352948e-07,83.45288688221423,83.45288688221423,11.480823358326504,5.6958897367597
1420.5859375,6.839116472814293e-07,1.584893192461114e-07,1.782378767448089e-07,83.98432115062329,83.98432115062329,11.087889020437956,5.302955398871152
1420.58984375,6.807693586937411e-07,1.5812480392703843e-07,1.7864875748520516e-07,84.25151277869618,84.25151277869618,11.584481737041742,5.799548115474938
1420.59375,6.792036326171844e-07,1.56675107010815e-07,1.7579236139586932e-07,83.45288688221434,83.45288688221434,10.792884535914183,5.007950914347379
1420.59765625,6.807693586937411e-07,1.56675107010815e-07,1.7741894808901663e-07,83.18863481096287,83.18863481096287,11.676207282219337,5.8912736606525336
1420.6015625,6.776415076106751e-07,1.5631476426409537e-07,1.7579236139586932e-07,83.45288688221422,83.45288688221422,11.021669667257854,5.23673604569105
1420.60546875,6.792036326171844e-07,1.56675107010815e-07,1.761976046411629e-07,83.45288688221434,83.45288688221434,11.021669667257726,5.236736045690922
1420.609375,6.745280276979216e-07,1.5631476426409537e-07,1.7538805018417602e-07,83.98432115062329,83.98432115062329,10.857729323908515,5.072795702341711
1420.61328125,6.714288529259523e-07,1.5523870099580817e-07,1.7498466886246564e-07,83.71811409521214,83.71811409521214,11.284718429599678,5.499784808032874
1420.6171875,6.714288529259523e-07,1.54170045294956e-07,1.7338039977541374e-07,82.92535321014158,82.92535321014158,10.955936347782426,5.171002726215622
1420.62109375,6.668067692136219e-07,1.5275660582380732e-07,1.7218685749860061e-07,82.66303743755613,82.66303743755613,11.150515362675577,5.365581741108773
1420.625,6.683439175686149e-07,1.534616982799294e-07,1.7338039977541374e-07,82.92535321014145,82.92535321014145,11.412351642839113,5.627418021272309
1420.62890625,6.652731562017413e-07,1.5240527537972906e-07,1.7179083871575893e-07,82.66303743755601,82.66303743755601,11.150515362675762,5.365581741108958
1420.6328125,6.637430704019089e-07,1.5240527537972906e-07,1.7100153150902864e-07,82.92535321014147,82.92535321014147,10.728515692655591,4.943582071088787
1420.63671875,6.622165037017623e-07,1.5275660582380732e-07,1.7218685749860061e-07,83.45288688221423,83.45288688221423,11.25098220279773,5.466048581230925
1420.640625,6.622165037017623e-07,1.5240527537972906e-07,1.7258378919902025e-07,83.18863481096263,83.18863481096263,11.676207282219309,5.891273660652505
1420.64453125,6.606934480075957e-07,1.5170503674593368e-07,1.7179083871575893e-07,82.92535321014158,82.92535321014158,11.641348702637458,5.856415081070654
1420.6484375,6.576578373554205e-07,1.510080154164148e-07,1.7179083871575893e-07,82.92535321014147,82.92535321014147,12.100927717378354,6.315994095811551
1420.65234375,6.546361740672747e-07,1.5205475297324956e-07,1.7179083871575893e-07,84.25151277869607,84.25151277869607,11.584481737041841,5.799548115475037
1420.65625,6.516283940608428e-07,1.4962356560944328e-07,1.702158508394952e-07,82.92535321014145,82.92535321014145,12.100927717378369,6.315994095811565
1420.66015625,6.531305526474723e-07,1.510080154164148e-07,1.7218685749860061e-07,83.71811409521214,83.71811409521214,12.442696654681,6.657763033114197
1420.6640625,6.501296903430902e-07,1.4962356560944328e-07,1.7100153150902864e-07,83.18863481096277,83.18863481096277,12.600245289173614,6.81531166760681
1420.66796875,6.486344335482388e-07,1.503141966090024e-07,1.7218685749860061e-07,83.9843211506233,83.9843211506233,12.948370313161234,7.1634366915944305
1420.671875,6.486344335482388e-07,1.4962356560944328e-07,1.7060823890031244e-07,83.4528868822141,83.4528868822141,12.405498594402715,6.620564972835911
1420.67578125,6.441692655151775e-07,1.4893610777109138e-07,1.7100153150902864e-07,83.71811409521199,83.71811409521199,13.143909895579341,7.358976274012537
1420.6796875,6.441692655151775e-07,1.485935642287006e-07,1.7100153150902864e-07,83.45288688221413,83.45288688221413,13.338729745096046,7.553796123529242
1420.68359375,6.412095765851616e-07,1.4723125024327192e-07,1.7060823890031244e-07,82.92535321014155,82.92535321014155,13.96055512171192,8.175621500145116
1420.6875,6.397348354826482e-07,1.4621771744567184e-07,1.6982436524617427e-07,82.4016828799065,82.4016828799065,14.110880548274011,8.325946926707207
1420.69140625,6.412095765851616e-07,1.46554784095591e-07,1.7060823890031244e-07,82.40168287990637,82.40168287990637,14.344891174874107,8.559957553307303
1420.6953125,6.367955209079156e-07,1.475706533275893e-07,1.7179083871575893e-07,83.98432115062316,83.98432115062316,14.60464331023995,8.819709688673147
1420.69921875,6.367955209079156e-07,1.4689262776438677e-07,1.7100153150902864e-07,83.45288688221434,83.45288688221434,14.517421113873041,8.732487492306237
1420.703125,6.338697112569269e-07,1.4554590805819668e-07,1.7060823890031244e-07,82.92535321014158,82.92535321014158,15.14033833696881,9.355404715402006
